(26, 0.001, 0.001, 1e-05), 0.0027260186574101183
(24, 0.01, 1e-05, 0.001), 0.0027370889092149567
(22, 0.001, 0.01, 1e-05), 0.002755398439789228
(26, 0.01, 1e-05, 0.001), 0.0027588146940080477
(20, 0.001, 0.001, 0.01), 0.002762529417228305
(30, 0.01, 0.0001, 0.01), 0.002763191240602552
(28, 0.001, 0.01, 0.001), 0.002763730001994065
(22, 0.01, 0.0001, 0.01), 0.002767020310235907
(26, 0.01, 0.0001, 0.1), 0.002767206118311563
(20, 0.01, 0.1, 1e-05), 0.0027684106036501765
(26, 0.001, 1e-05, 0.0001), 0.0027684583927108054
(30, 0.001, 0.001, 1e-05), 0.002770945154257955
(22, 0.001, 0.1, 0.0001), 0.0027710220514274336
(18, 0.001, 0.001, 0.0001), 0.0027744762316897847
(30, 0.001, 0.001, 0.1), 0.0027745860228178066
(24, 0.01, 0.01, 0.1), 0.0027755648873125922
(26, 0.001, 1e-05, 1e-05), 0.002776347425961026
(26, 0.001, 0.1, 0.1), 0.002778446183093667
(24, 0.01, 0.001, 0.1), 0.0027834372251950763
(20, 0.01, 0.001, 1e-05), 0.0027841030070980153
