"","INBRED","TESTER","mean"
"1","Inbred_1071","Tester_1345",0.986543646166667
"2","Inbred_1071","Tester_4373",1.05770397472727
"3","Inbred_1071","Tester_4473",1.02370384233333
"4","Inbred_1071","Tester_4541",1.01473495483333
"5","Inbred_1071","Tester_5305",1.06272720255
"6","Inbred_1071","Tester_5421",1.06435835933333
"7","Inbred_1071","Tester_5435",0.995959886333333
"8","Inbred_1071","Tester_5483",1.029056904
"9","Inbred_1071","Tester_5495",0.953719563444444
"10","Inbred_1071","Tester_5573",1.04380313604545
"11","Inbred_1071","Tester_5574",1.0967879749375
"12","Inbred_1071","Tester_5595",1.0662146474
"13","Inbred_1071","Tester_5604",1.0760387154
"14","Inbred_122","Tester_3796",0.9898395360625
"15","Inbred_122","Tester_4151",1.04106897633333
"16","Inbred_122","Tester_4152",1.02462243007692
"17","Inbred_122","Tester_4160",1.09357029844444
"18","Inbred_122","Tester_4233",0.957298131777778
"19","Inbred_122","Tester_4341",1.01397378546154
"20","Inbred_122","Tester_4350",0.923149557555555
"21","Inbred_122","Tester_5404",1.14196377622222
"22","Inbred_122","Tester_821",1.08459481188889
"23","Inbred_1337","Tester_2721",0.904167685583333
"24","Inbred_1337","Tester_2724",0.907972433916667
"25","Inbred_1337","Tester_4541",1.0241690515
"26","Inbred_1337","Tester_5450",0.929892183666667
"27","Inbred_1339","Tester_1345",1.00249973727273
"28","Inbred_1339","Tester_2652",0.8538449438
"29","Inbred_1339","Tester_2747",0.922335317136364
"30","Inbred_1339","Tester_4251",1.0435771085
"31","Inbred_1339","Tester_4359",0.9540041745
"32","Inbred_1339","Tester_4361",1.00751413872727
"33","Inbred_1339","Tester_4366",0.9770372865
"34","Inbred_1339","Tester_4367",1.02865865383333
"35","Inbred_1339","Tester_4368",1.02269215063636
"36","Inbred_1339","Tester_4373",1.03810685463636
"37","Inbred_1339","Tester_4376",1.03388869654545
"38","Inbred_1339","Tester_4540",0.863627691727273
"39","Inbred_1339","Tester_4541",0.973355698909091
"40","Inbred_1339","Tester_4572",0.953747547
"41","Inbred_1339","Tester_4577",0.9959078882
"42","Inbred_1339","Tester_5301",0.937182044
"43","Inbred_1339","Tester_5305",1.01308156497792
"44","Inbred_1339","Tester_5307",0.913477975863636
"45","Inbred_1339","Tester_5404",1.0335245226
"46","Inbred_1339","Tester_5414",0.984914094818182
"47","Inbred_1339","Tester_5426",1.03577292588889
"48","Inbred_1339","Tester_5435",0.974500115545455
"49","Inbred_1339","Tester_5495",0.980203224363636
"50","Inbred_1339","Tester_7978",0.985659448
"51","Inbred_1339","Tester_7984",1.08625268333333
"52","Inbred_1339","Tester_7991",0.782615626333333
"53","Inbred_1339","Tester_7992",0.882917840142857
"54","Inbred_1339","Tester_7993",0.9339842595
"55","Inbred_1340","Tester_1349",1.01346728009091
"56","Inbred_1340","Tester_2689",1.00426397814286
"57","Inbred_1340","Tester_3521",0.942215009909091
"58","Inbred_1340","Tester_3567",0.905705245055556
"59","Inbred_1340","Tester_3577",0.904508780882353
"60","Inbred_1340","Tester_4083",0.958269779
"61","Inbred_1340","Tester_4301",0.9485525411
"62","Inbred_1340","Tester_4321",0.915190707888889
"63","Inbred_1340","Tester_5230",1.09808821975
"64","Inbred_1340","Tester_5232",1.1388650565
"65","Inbred_1340","Tester_5364",1.07117438077778
"66","Inbred_1340","Tester_5368",1.01014260608333
"67","Inbred_1340","Tester_5372",0.928316011416667
"68","Inbred_1340","Tester_5508",0.9919516311
"69","Inbred_1340","Tester_5526",1.02801922352941
"70","Inbred_1340","Tester_5539",0.974837974117647
"71","Inbred_1340","Tester_5542",1.02210295194118
"72","Inbred_1340","Tester_6226",1.11884155811111
"73","Inbred_1340","Tester_6287",1.04745212722222
"74","Inbred_1340","Tester_6290",1.0076325633
"75","Inbred_1340","Tester_6298",0.9743532507
"76","Inbred_1340","Tester_6357",1.00253791525
"77","Inbred_1340","Tester_6902",1.04909177233333
"78","Inbred_1341","Tester_1349",1.01527174318182
"79","Inbred_1341","Tester_2689",0.954969519222222
"80","Inbred_1341","Tester_3521",0.948969557166667
"81","Inbred_1341","Tester_3567",0.9117975334
"82","Inbred_1341","Tester_4321",0.8980721548
"83","Inbred_1341","Tester_4327",0.967544432
"84","Inbred_1341","Tester_5364",1.0325608029
"85","Inbred_1341","Tester_5368",1.043220568
"86","Inbred_1341","Tester_5369",0.9440454784
"87","Inbred_1341","Tester_5372",0.988081468
"88","Inbred_1341","Tester_5524",1.00078960383333
"89","Inbred_1341","Tester_5526",0.987402083909091
"90","Inbred_1341","Tester_5539",0.9599648725625
"91","Inbred_1341","Tester_5542",1.0065018277
"92","Inbred_1341","Tester_6226",1.077214126
"93","Inbred_1341","Tester_6287",0.9385734682
"94","Inbred_1341","Tester_6357",1.01451575792
"95","Inbred_1341","Tester_6902",1.0197597295
"96","Inbred_1342","Tester_1349",1.03098593611111
"97","Inbred_1342","Tester_2689",1.01380235225
"98","Inbred_1342","Tester_2690",1.07183457681818
"99","Inbred_1342","Tester_3504",1.0080468963
"100","Inbred_1342","Tester_3507",0.936953283142857
"101","Inbred_1342","Tester_3521",1.01699369113043
"102","Inbred_1342","Tester_3567",0.98575579425
"103","Inbred_1342","Tester_3573",1.03811410575
"104","Inbred_1342","Tester_3577",0.97524616626087
"105","Inbred_1342","Tester_3582",1.017986957875
"106","Inbred_1342","Tester_4083",0.998085473777778
"107","Inbred_1342","Tester_4207",1.0953555553
"108","Inbred_1342","Tester_4217",1.05657594562857
"109","Inbred_1342","Tester_4294",0.992286172444444
"110","Inbred_1342","Tester_4306",1.006027437
"111","Inbred_1342","Tester_4313",1.0367247446
"112","Inbred_1342","Tester_4320",1.04457387094118
"113","Inbred_1342","Tester_4321",1.021460019
"114","Inbred_1342","Tester_4327",1.0397407135
"115","Inbred_1342","Tester_4494",1.008513733
"116","Inbred_1342","Tester_4495",1.04721254727273
"117","Inbred_1342","Tester_4500",1.05181040783333
"118","Inbred_1342","Tester_4530",1.035718913
"119","Inbred_1342","Tester_4538",1.107574299
"120","Inbred_1342","Tester_5219",1.04084429809091
"121","Inbred_1342","Tester_5220",1.07578590941667
"122","Inbred_1342","Tester_5225",0.977080485111111
"123","Inbred_1342","Tester_5226",1.02247757766667
"124","Inbred_1342","Tester_5231",0.996201834363636
"125","Inbred_1342","Tester_5232",1.00784906311111
"126","Inbred_1342","Tester_5233",0.995888539416667
"127","Inbred_1342","Tester_5245",1.00371371116667
"128","Inbred_1342","Tester_5254",1.05038454258333
"129","Inbred_1342","Tester_5255",1.01457644072727
"130","Inbred_1342","Tester_5323",0.993742043833333
"131","Inbred_1342","Tester_5336",1.0090628075
"132","Inbred_1342","Tester_5345",1.0699632636
"133","Inbred_1342","Tester_5364",1.11566257478261
"134","Inbred_1342","Tester_5368",1.04714839973333
"135","Inbred_1342","Tester_5369",1.0326431965
"136","Inbred_1342","Tester_5372",1.1281507361
"137","Inbred_1342","Tester_5377",0.999396500909091
"138","Inbred_1342","Tester_5380",0.950453333
"139","Inbred_1342","Tester_5382",0.973979501545455
"140","Inbred_1342","Tester_5386",1.072130419875
"141","Inbred_1342","Tester_5392",1.04683443863636
"142","Inbred_1342","Tester_5466",1.0173344194
"143","Inbred_1342","Tester_5467",1.124193138875
"144","Inbred_1342","Tester_5468",1.05210851736364
"145","Inbred_1342","Tester_5503",0.995300477888889
"146","Inbred_1342","Tester_5508",0.984692356666667
"147","Inbred_1342","Tester_5510",1.05429808025
"148","Inbred_1342","Tester_5523",1.012841429875
"149","Inbred_1342","Tester_5524",1.02974133621277
"150","Inbred_1342","Tester_5526",1.03908456687879
"151","Inbred_1342","Tester_5527",1.04799670666667
"152","Inbred_1342","Tester_5528",1.06346179618182
"153","Inbred_1342","Tester_5530",0.988061502
"154","Inbred_1342","Tester_6201",0.973044626909091
"155","Inbred_1342","Tester_6202",0.911454263166667
"156","Inbred_1342","Tester_6209",0.960166789166667
"157","Inbred_1342","Tester_6226",1.03847642446154
"158","Inbred_1342","Tester_6227",0.92066840825
"159","Inbred_1342","Tester_6257",0.985360257916667
"160","Inbred_1342","Tester_6258",0.994874518
"161","Inbred_1342","Tester_6287",1.04032261418182
"162","Inbred_1342","Tester_6290",1.07361045588889
"163","Inbred_1342","Tester_6298",1.025178814
"164","Inbred_1342","Tester_6309",1.11443580109091
"165","Inbred_1342","Tester_6314",1.04735260655556
"166","Inbred_1342","Tester_6320",0.910888465181818
"167","Inbred_1342","Tester_6348",1.09615301454545
"168","Inbred_1342","Tester_6355",1.003834698
"169","Inbred_1342","Tester_6417",1.02294234158333
"170","Inbred_1342","Tester_6902",1.05997105190909
"171","Inbred_1342","Tester_6913",0.8973022235
"172","Inbred_1342","Tester_8014",1.0059615827
"173","Inbred_1342","Tester_8033",1.02702817333333
"174","Inbred_1342","Tester_8037",0.993447278714286
"175","Inbred_1342","Tester_8044",1.05347219322222
"176","Inbred_1342","Tester_8084",0.981333126909091
"177","Inbred_1344","Tester_3521",1.00420493707692
"178","Inbred_1344","Tester_3567",0.9792900284
"179","Inbred_1344","Tester_3573",1.004834648875
"180","Inbred_1344","Tester_3577",1.02003998269231
"181","Inbred_1344","Tester_4327",1.07565592918182
"182","Inbred_1344","Tester_5368",1.02315097
"183","Inbred_1344","Tester_5382",1.03112591966667
"184","Inbred_1344","Tester_5508",1.05646919711111
"185","Inbred_1344","Tester_5524",0.978431731
"186","Inbred_1344","Tester_5542",0.895532668
"187","Inbred_1344","Tester_6290",1.00431872577778
"188","Inbred_1344","Tester_6357",1.00659277623077
"189","Inbred_1345","Tester_1349",1.0252927175
"190","Inbred_1345","Tester_2683",1.00950148558333
"191","Inbred_1345","Tester_2689",0.997861164454545
"192","Inbred_1345","Tester_2690",1.03471646172727
"193","Inbred_1345","Tester_3504",1.03559817909091
"194","Inbred_1345","Tester_3521",1.06567816855882
"195","Inbred_1345","Tester_3573",1.07969821448148
"196","Inbred_1345","Tester_3577",0.99312658688
"197","Inbred_1345","Tester_3582",0.950073587818182
"198","Inbred_1345","Tester_4083",1.017817764
"199","Inbred_1345","Tester_4217",1.0297927075
"200","Inbred_1345","Tester_4278",1.0008843117619
"201","Inbred_1345","Tester_4281",0.933692906555556
